ID,Suspected,Laboratory Detected Substances,Type,Date,State / Group,Location
18280,Fentanyl,"Para-fluorofentanyl (10)
Fentanyl (9)
Xylazine (13)
Lidocaine (8)",Community Sample,03/2025,Massachusetts,Boston
18279,Fentanyl,"Fentanyl (10)
Para-fluorofentanyl (1)
Lidocaine (3)",Community Sample,03/2025,Massachusetts,Boston
18310,Unknown (ground score),"Fentanyl (10)
Cocaine (2)
4-ANPP (4)",Community Sample,03/2025,Massachusetts,Boston
18323,Methamphetamine,Methamphetamine (Primary),Community Sample,03/2025,Michigan,Flint
18321,Crack (Rock),Cocaine (10),Community Sample,03/2025,Rhode Island,Pawtucket
18322,Crack (Rock),Cocaine (10),Community Sample,03/2025,Rhode Island,Pawtucket
18089,MDMA,MDMA (10),Community Sample,03/2025,Massachusetts,Pittsfield
18276,Fentanyl,"Fentanyl (10)
Carfentanil QTOF (trace)",Community Sample,03/2025,Massachusetts,Boston
18099,Methamphetamine,Methamphetamine (10),Community Sample,03/2025,Rhode Island,Providence
18378,Fentanyl,"Carfentanil (Trace)
Niacinamide (Trace)
Bromazolam (Trace)
Heroin (Primary)
Fentanyl (Primary)
6-Monoacetylmorphine (6-MAM) (Trace)
Diphenhydramine (Primary)
Acetaminophen (Trace)
Lidocaine (Primary)
Caffeine (Primary)
Pending Nitazene (Trace)
Erythritol (Primary)",Community Sample,03/2025,Michigan,Grand Rapids
18098,Fentanyl,Fentanyl (10),Community Sample,03/2025,Rhode Island,Providence
18070,"Heroin, Fentanyl","Fentanyl (10)
Cocaine (trace)
Lidocaine (20)
BTMPS (Tinuvin 770) (3)
4-ANPP (1)",Community Sample,03/2025,Massachusetts,Lynn
18072,"Heroin, Fentanyl","Fentanyl (10)
Caffeine (144)
BTMPS (Tinuvin 770) (49)",Community Sample,03/2025,Massachusetts,Holyoke
18081,"Heroin, Fentanyl","Fentanyl (10)
4-ANPP (9)
Caffeine (7)
Procaine (2)
BTMPS (Tinuvin 770) (2)",Community Sample,03/2025,Massachusetts,Holyoke
18278,Heroin,"Fentanyl (10)
Lidocaine (52)",Community Sample,03/2025,Massachusetts,Boston
18119,Crack (Rock),Cocaine (10),Community Sample,03/2025,Massachusetts,New Bedford
18266,Estrogen,Estradiol Enanthate,Community Sample,03/2025,New York,New York
18120,Crack (Rock),"Cocaine (10)
Norcocaine (trace)",Community Sample,03/2025,Massachusetts,New Bedford
18027,Fentanyl,"Morphine (Major)
Codeine (Minor)
6-Monoacetylmorphine (Major)
Papaverine (Trace)",Community Sample,03/2025,Connecticut,Hartford
18028,Fentanyl,"Lidocaine (Trace)
Xylazine (Major)
Fentanyl (Major)
Diacetylmorphine (Minor)
Caffeine (Trace)",Community Sample,03/2025,Connecticut,Hartford
18031,Fentanyl,"Fentanyl (Minor)
Xylazine (Major)
Procaine (Trace)",Community Sample,03/2025,Connecticut,Hartford
18029,Fentanyl,"6-Monoacetylmorphine (Major)
Morphine (Minor)
Papaverine (Trace)
Codeine (Trace)
Diacetylmorphine (Trace)",Community Sample,03/2025,Connecticut,Hartford
18030,Fentanyl,"Fentanyl (Major)
Lidocaine (Major)
4-ANPP (Trace)
Xylazine (Trace)",Community Sample,03/2025,Connecticut,Hartford
18032,Fentanyl,"Lidocaine (Major)
Fentanyl (Major)
4-ANPP (Trace)
Cocaine (Trace)",Community Sample,03/2025,Connecticut,Hartford
18033,Fentanyl,"Procaine (Major)
Fentanyl (Major)
Xylazine (Major)
4-ANPP (Major)",Community Sample,03/2025,Connecticut,Hartford
18039,Fentanyl,"Cocaine (10)
Fentanyl (2)",Community Sample,03/2025,Massachusetts,New Bedford
18045,"Heroin, Fentanyl","Diphenhydramine (Primary)
Bis(2
2
6
6-Tetramethyl-4-Piperidyl) Sebacate (Primary)
Fentanyl (Trace)
Heroin (Primary)
Acetaminophen (Trace)
Erythritol (Trace)",Community Sample,03/2025,Michigan,Muskegon
18047,Fentanyl,"Heroin (10)
Fentanyl (8)
Procaine (12969)
Caffeine (3972)
Lidocaine (481)
Medetomidine (253)
Xylazine (18)",Community Sample,03/2025,Rhode Island,Pawtucket
18049,"Heroin, Fentanyl","Caffeine (Primary)
Lidocaine (Primary)
Fentanyl (Trace)
6-Monoacetylmorphine (6-MAM) (Trace)
Erythritol (Primary)
Bis(2
2
6
6-Tetramethyl-4-Piperidyl) Sebacate (Trace)
Medetomidine (Trace)
Diphenhydramine (Trace)
Acetaminophen (Trace)
Heroin (Trace)
Xylazine (Trace)",Community Sample,03/2025,Michigan,Muskegon
18053,"Fentanyl, Xylazine","Bis(2
2
6
6-Tetramethyl-4-Piperidyl) Sebacate (Trace)
Lidocaine (Primary)
Ethyl 4-ANPP (Primary)
Acetaminophen (Primary)
Caffeine (Trace)
Heroin (Primary)
Fentanyl (Primary)
4-ANPP (Primary)
6-Monoacetylmorphine (6-MAM) (Trace)",Community Sample,03/2025,Michigan,Grand Rapids
18054,Fentanyl,"Diphenhydramine (Primary)
4-ANPP (Trace)
Xylazine (Primary)
Fentanyl (Primary)
Lidocaine (Primary)
Niacinamide (Trace)
Erythritol (Primary)",Community Sample,03/2025,Michigan,Grand Rapids
18055,Heroin,"Lidocaine (Primary)
Heroin (Primary)
6-Monoacetylmorphine (6-MAM) (Trace)
Erythritol (Primary)
Xylazine (Primary)
Cocaine (Trace)
4-ANPP (Primary)
Acetaminophen (Primary)
Niacinamide (Primary)
Bis(2
2
6
6-Tetramethyl-4-Piperidyl) Sebacate (Trace)
Fentanyl (Primary)
Caffeine (Trace)
Phenethyl 4-ANPP (Trace)
Diphenhydramine (Primary)
Ethyl 4-ANPP (Primary)",Community Sample,03/2025,Michigan,Grand Rapids
18059,"Heroin, Fentanyl, Xylazine","Fentanyl (10)
BTMPS (Tinuvin 770) (6)
4-ANPP (2)",Community Sample,03/2025,Massachusetts,Holyoke
18060,"Heroin, Fentanyl","Heroin (10)
Fentanyl (trace)
Procaine (2)
6-Monoacetylmorphine (1)
BTMPS (Tinuvin 770) (trace)
4-ANPP (trace)",Community Sample,03/2025,Massachusetts,Holyoke
18062,"Heroin, Fentanyl, Xylazine, Ketamine","Heroin (10)
Fentanyl QTOF (trace)
BTMPS (Tinuvin 770) (462)",Community Sample,03/2025,Massachusetts,Pittsfield
18063,"Heroin, Fentanyl","Fentanyl (10)
Heroin (2)
Lidocaine (8)
4-ANPP (3)
BTMPS (Tinuvin 770) (1)",Community Sample,03/2025,Massachusetts,Holyoke
18065,"Heroin, Fentanyl","Fentanyl (10)
Caffeine (28)
4-ANPP (2)",Community Sample,03/2025,Massachusetts,Holyoke
18068,"Heroin, Fentanyl","Fentanyl (10)
Procaine (2151)",Community Sample,03/2025,Massachusetts,Holyoke
18069,"NOT SURE, FOUND ON THE GROUND","Fentanyl (10)
Cocaine (trace)
4-ANPP (1)
Caffeine (trace)",Community Sample,03/2025,Massachusetts,Lynn
18073,"Heroin, Fentanyl","Fentanyl QTOF (10)
Caffeine (847516)
BTMPS (Tinuvin 770) (242849)",Community Sample,03/2025,Massachusetts,Holyoke
18079,Fentanyl,"Fentanyl (10)
4-ANPP (11)",Community Sample,03/2025,Massachusetts,Holyoke
18107,Fentanyl,"Fentanyl (10)
Lidocaine (24)",Community Sample,03/2025,Massachusetts,Boston
18108,Methamphetamine,Methamphetamine (10),Community Sample,03/2025,Massachusetts,Boston
18110,Fentanyl,"Fentanyl (10)
Cocaine (trace)
4-ANPP (3)",Community Sample,03/2025,Massachusetts,Boston
18111,Bromazolam,"Desalkylgidazepam (Primary)
Bromazolam (Primary)",Community Sample,03/2025,Michigan,Grand Rapids
18118,Crack (Rock),"Cocaine (10)
Norcocaine (trace)",Community Sample,03/2025,Massachusetts,New Bedford
18103,Fentanyl,"Fentanyl (10)
BTMPS (Tinuvin 770) (45)
4-ANPP (3)",Community Sample,03/2025,Massachusetts,Boston
18101,Crack (Rock),Cocaine (10),Community Sample,03/2025,Rhode Island,Providence
18121,Crack (Rock),Cocaine (10),Community Sample,03/2025,Massachusetts,New Bedford
18105,Fentanyl,"Fentanyl (10)
4-ANPP (5)
Lidocaine (4)",Community Sample,03/2025,Massachusetts,Boston
18250,Cocaine (Powder),Cocaine (10),Community Sample,03/2025,Massachusetts,North Adams
18377,Heroin,"P-Fluorofentanyl (Trace)
Heroin (Primary)
Caffeine (Primary)
6-Monoacetylmorphine (6-MAM) (Primary)
Bis(2
2
6
6-Tetramethyl-4-Piperidyl) Sebacate (Trace)
Fentanyl (Primary)
Lidocaine (Trace)
Diphenhydramine (Trace)
Acetylcodeine (Trace)
4-ANPP (Primary)",Community Sample,03/2025,Michigan,Flint
18405,Crack (Rock),Cocaine (10),Community Sample,03/2025,Rhode Island,Pawtucket
18407,Alprazolam (Xanax),Phenazolam (Primary),Community Sample,03/2025,Michigan,Grand Rapids
18124,Crack (Rock),"Cocaine (10)
Phenacetin (1)
Norcocaine (trace)",Community Sample,03/2025,Massachusetts,New Bedford
18375,Heroin,Cocaine (Primary),Community Sample,03/2025,Michigan,Flint
18251,Cocaine (Powder),Cocaine (10),Community Sample,03/2025,Massachusetts,North Adams
18249,"Heroin, Fentanyl","Acetylcodeine (Primary)
6-Monoacetylmorphine (6-MAM) (Primary)
Papaverine (Trace)
Heroin (Primary)
Morphine (Trace)",Community Sample,03/2025,Michigan,Grand Rapids
18254,Heroin,"Diphenhydramine (Primary)
Caffeine (Primary)
Lidocaine (Primary)
Bis(2
2
6
6-Tetramethyl-4-Piperidyl) Sebacate (Trace)
Heroin (Primary)
4-ANPP (Primary)
Ethyl 4-ANPP (Trace)
Acetaminophen (Trace)
Fentanyl (Primary)",Community Sample,03/2025,Michigan,Muskegon
18243,Fentanyl,"Diphenhydramine (Primary)
Lidocaine (Primary)
Caffeine (Primary)
Acetaminophen (Primary)
Fentanyl (Primary)
Cocaine (Primary)",Community Sample,03/2025,Michigan,Grand Rapids
18242,"Heroin, Fentanyl","Fentanyl (10)
BTMPS (Tinuvin 770) (58)
4-ANPP (1)",Community Sample,03/2025,Massachusetts,Gloucester
18226,Methamphetamine,Methamphetamine (10),Community Sample,03/2025,Massachusetts,Boston
18224,"Fentanyl, Ketamine","Cocaine (10)
Fentanyl (1)",Community Sample,03/2025,Massachusetts,Boston
18223,Fentanyl,"Quinine (Trace)
4-ANPP (Primary)
Heroin (Trace)
Diphenhydramine (Primary)
Fentanyl (Primary)",Community Sample,03/2025,Michigan,Muskegon
18221,Fentanyl,"Caffeine (Trace)
Diphenhydramine (Primary)
Bis(2
2
6
6-Tetramethyl-4-Piperidyl) Sebacate (Trace)
Lidocaine (Primary)
4-ANPP (Primary)
Quinine (Trace)
Acetaminophen (Trace)
Gabapentin (Trace)
Fentanyl (Primary)",Community Sample,03/2025,Michigan,Muskegon
18360,"Fentanyl, Xylazine",,Community Sample,03/2025,North Carolina,Asheville
18257,Testosterone Enanthate,Trenbolone Enanthate,Community Sample,03/2025,New York,New York
18216,"Heroin, Fentanyl","Fentanyl (10)
Caffeine (142)
BTMPS (Tinuvin 770) (48)",Community Sample,03/2025,Massachusetts,Holyoke
18295,Fentanyl,"Fentanyl (10)
4-ANPP (2)",Community Sample,03/2025,Massachusetts,Boston
18340,"Heroin, Fentanyl","Lidocaine (Primary)
Diphenhydramine (Primary)
Xylazine (Trace)
4-ANPP (Primary)
Bis(2
2
6
6-Tetramethyl-4-Piperidyl) Sebacate (Trace)
Fentanyl (Primary)",Community Sample,03/2025,Michigan,Muskegon
18338,"Heroin, Fentanyl","Fentanyl (Trace)
Lidocaine (Primary)
Bis(2
2
6
6-Tetramethyl-4-Piperidyl) Sebacate (Trace)
Diphenhydramine (Primary)
Caffeine (Primary)",Community Sample,03/2025,Michigan,Muskegon
18330,Alprazolam (Xanax),Bromazolam (10),Community Sample,03/2025,Massachusetts,Boston
18328,"Heroin, Fentanyl","Fentanyl (Primary)
4-ANPP (Primary)
Ethyl 4-ANPP (Trace)",Community Sample,03/2025,Michigan,Flint
18327,"Heroin, Fentanyl","Caffeine (Primary)
Lidocaine (Primary)
Carfentanil (Trace)
Bis(2
2
6
6-Tetramethyl-4-Piperidyl) Sebacate (Primary)
Acetaminophen (Primary)
Fentanyl (Primary)
4-ANPP (Primary)
Quinine (Trace)
N-Phenylpropanamide (Trace)",Community Sample,03/2025,Michigan,Flint
18324,Fentanyl,"Diphenhydramine (Primary)
4-ANPP (Primary)
Fentanyl (Primary)",Community Sample,03/2025,Michigan,Muskegon
18294,Methamphetamine,Methamphetamine (10),Community Sample,03/2025,Massachusetts,Boston
18259,Testosterone Cypionate,Estradiol Valerate,Community Sample,03/2025,New York,New York
18293,Methamphetamine,Methamphetamine (10),Community Sample,03/2025,Massachusetts,Boston
18292,Crack (Rock),Cocaine (10),Community Sample,03/2025,Rhode Island,Providence
18291,Crack (Rock),Cocaine (10),Community Sample,03/2025,Rhode Island,Providence
18289,"Fentanyl, Cocaine (Powder)",Quetiapine (NA),Community Sample,03/2025,Rhode Island,Pawtucket
18287,Fentanyl,"Fentanyl (10)
BTMPS (Tinuvin 770) (24)",Community Sample,03/2025,Massachusetts,Boston
18284,Heroin,"Fentanyl (10)
4-ANPP (7)",Community Sample,03/2025,Massachusetts,Cambridge
18218,Crack (Rock),Cocaine (10),Community Sample,03/2025,Rhode Island,Pawtucket
18366,Fentanyl,"Fentanyl (Primary)
4-ANPP (Primary)",Community Sample,03/2025,Michigan,Grand Rapids
18162,Fentanyl,"Para-fluorofentanyl (10)
Cocaine (1)
Fentanyl (1)
para-Fluoro-Phenethyl-4-ANPP (8)
BTMPS (Tinuvin 770) (1)",Community Sample,03/2025,Massachusetts,Brockton
18157,"Heroin, Fentanyl","Fentanyl (10)
Caffeine (27)
4-ANPP (4)",Community Sample,03/2025,Massachusetts,Holyoke
18154,"Heroin, Fentanyl","Heroin (10)
Fentanyl (4)
6-Monoacetylmorphine (1)
Procaine (trace)",Community Sample,03/2025,Massachusetts,Holyoke
18153,"Heroin, Fentanyl, Xylazine","Diphenhydramine (Primary)
Xylazine (Primary)
Heroin (Trace)
4-ANPP (Trace)
Cocaine (Trace)
6-Monoacetylmorphine (6-MAM) (Trace)
Fentanyl (Primary)
Bis(2
2
6
6-Tetramethyl-4-Piperidyl) Sebacate (Trace)
Lidocaine (Primary)
Niacinamide (Trace)
Erythritol (Trace)",Community Sample,03/2025,Michigan,Grand Rapids
18149,"Heroin, Fentanyl, Xylazine","Xylazine (Primary)
4-ANPP (Primary)
Acetaminophen (Primary)
Heroin (Trace)
Fentanyl (Primary)",Community Sample,03/2025,Michigan,Grand Rapids
18148,Crack (Rock),Cocaine (10),Community Sample,03/2025,Massachusetts,Brockton
18147,Fentanyl,"Fentanyl (10)
Lidocaine (16)
BTMPS (Tinuvin 770) (4)",Community Sample,03/2025,Massachusetts,Brockton
18146,Crack (Rock),Cocaine (10),Community Sample,03/2025,Massachusetts,Brockton
18141,Crack (Rock),Cocaine (10),Community Sample,03/2025,Rhode Island,Pawtucket
18140,"Heroin, Fentanyl","Fentanyl (10)
Procaine (28)
Caffeine (4)
BTMPS (Tinuvin 770) (2)
4-ANPP (1)",Community Sample,03/2025,Massachusetts,Greenfield
18160,Fentanyl,"Fentanyl (10)
4-ANPP (2)",Community Sample,03/2025,Massachusetts,Quincy
18134,"Fentanyl, Xylazine",,Community Sample,03/2025,North Carolina,Asheville
18133,Methamphetamine,,Community Sample,03/2025,North Carolina,Asheville
18213,"Heroin, Fentanyl","Heroin (10)
Fentanyl (4)
Procaine (54)
Xylazine (4)",Community Sample,03/2025,Massachusetts,Greenfield
18132,"Fentanyl, Xylazine",,Community Sample,03/2025,North Carolina,Asheville
18131,Heroin,"Heroin (10)
Fentanyl (trace)
6-Monoacetylmorphine (2)
Acetylcodeine (1)
Papaverine (trace)",Community Sample,03/2025,Massachusetts,Boston
18130,"Heroin, Fentanyl","Cocaine (10)
Fentanyl (7)
Lidocaine (23)
Caffeine (2)
4-ANPP (1)
BTMPS (Tinuvin 770) (1)
Xylazine (trace)",Community Sample,03/2025,Massachusetts,Boston
18094,Fentanyl,"Fentanyl (10)
Heroin (3)
Caffeine (135)
BTMPS (Tinuvin 770) (8)
Lidocaine (3)
4-ANPP (3)",Community Sample,03/2025,Massachusetts,Holyoke
18093,"Heroin, Fentanyl","Heroin (10)
Fentanyl (1)
Procaine (5)
BTMPS (Tinuvin 770) (2)
6-Monoacetylmorphine (1)",Community Sample,03/2025,Massachusetts,Holyoke
18163,Fentanyl,"Cocaine (10)
Para-fluorofentanyl (8)
Fentanyl QTOF (trace)
para-Fluoro-Phenethyl-4-ANPP (29)
BTMPS (Tinuvin 770) (8)",Community Sample,03/2025,Massachusetts,Fall River
18166,Fentanyl,"ortho-Methylfentanyl (10)
ortho-Methyl-4-ANPP (13)",Community Sample,03/2025,Massachusetts,Quincy
18170,Fentanyl,"Diphenhydramine (Trace)
Acetaminophen (Trace)
Cocaine (Primary)
Fentanyl (Primary)
Caffeine (Primary)
Lidocaine (Primary)
Bis(2
2
6
6-Tetramethyl-4-Piperidyl) Sebacate (Trace)
4-ANPP (Primary)",Community Sample,03/2025,Michigan,Grand Rapids
18178,Cocaine (Powder),"Cocaine (10)
Levamisole (trace)",Community Sample,03/2025,Rhode Island,Providence
18174,"Heroin, Fentanyl, Xylazine","4-ANPP (Primary)
Xylazine (Primary)
Heroin (Trace)
Fentanyl (Primary)
Acetaminophen (Primary)",Community Sample,03/2025,Michigan,Grand Rapids
18129,Ritalin,Methylphenidate (10),Community Sample,03/2025,Massachusetts,Boston
18181,Heroin,"Heroin (Primary)
Medetomidine (Primary)
Dextromethorphan (Trace)
Bis(2
2
6
6-Tetramethyl-4-Piperidyl) Sebacate (Primary)
Fentanyl (Primary)
P-Fluorofentanyl (Trace)
Lidocaine (Primary)
Diphenyl Sulfone (Primary)
Despropionyl P-Fluorofentanyl (Primary)
4-ANPP (Primary)",Community Sample,03/2025,Michigan,Flint
18126,Fentanyl,"Cocaine (10)
Fentanyl (9)
Lidocaine (3)
4-ANPP (1)",Community Sample,03/2025,Massachusetts,New Bedford
18203,Fentanyl,Fentanyl (10),Community Sample,03/2025,Massachusetts,Lawrence
18155,"Heroin, Fentanyl","Fentanyl (10)
Caffeine (136)
BTMPS (Tinuvin 770) (42)",Community Sample,03/2025,Massachusetts,Holyoke
17774,Heroin,"Fentanyl (10)
Para-fluorofentanyl (3)
para-Fluoro-4-ANPP (5)
Phenethyl-4-ANPP (1)",Community Sample,02/2025,Massachusetts,Brockton
17813,"Heroin, Fentanyl","Heroin (10)
Fentanyl (1)
BTMPS (Tinuvin 770) (4)
6-Monoacetylmorphine (1)",Community Sample,02/2025,Massachusetts,Springfield
17777,"Heroin, Fentanyl","Fentanyl (10)
Xylazine (111)
BTMPS (Tinuvin 770) (16)
4-ANPP (1)",Community Sample,02/2025,Massachusetts,Holyoke
17771,Fentanyl,"Fentanyl (10)
Caffeine (18)
Ethyl-4-ANPP (1)
4-ANPP (trace)",Community Sample,02/2025,Massachusetts,Haverhill
17819,Methamphetamine,Methamphetamine (Primary),Community Sample,02/2025,Michigan,Flint
17770,"Fentanyl, Xylazine",test (primary),Community Sample,02/2025,Massachusetts,Worcester
17769,Xanax,Bromazolam (10),Community Sample,02/2025,Massachusetts,Boston
17768,Heroin,"Fentanyl (10)
4-ANPP (3)",Community Sample,02/2025,Massachusetts,Boston
17818,Methamphetamine,Methamphetamine (Primary),Community Sample,02/2025,Michigan,Flint
17778,"Heroin, Fentanyl","Heroin (10)
Fentanyl (3)
Procaine (7)
Lidocaine (5)
Caffeine (4)
BTMPS (Tinuvin 770) (4)
6-Monoacetylmorphine (1)
4-ANPP (1)
Acetylcodeine (trace)",Community Sample,02/2025,Massachusetts,Holyoke
17784,Crack (Rock),Cocaine (10),Community Sample,02/2025,Massachusetts,Brockton
17775,"Heroin, Fentanyl","Heroin (10)
Fentanyl (1)
Procaine (5)
BTMPS (Tinuvin 770) (2)
6-Monoacetylmorphine (1)
4-ANPP (trace)
Acetylcodeine (trace)",Community Sample,02/2025,Massachusetts,Holyoke
17762,Fentanyl,"Fentanyl (10)
BTMPS (Tinuvin 770) (279)
Lidocaine (231)",Community Sample,02/2025,Massachusetts,Boston
17800,Fentanyl,"Fentanyl (10)
BTMPS (Tinuvin 770) (29)
Xylazine (18)
Lidocaine (8)
4-ANPP (1)
TMP (1)",Community Sample,02/2025,Massachusetts,Fall River
17817,"Benzo Related Substance (e.g. Alprazolam (Xanax), Bromazolam, Etizolam, RCs)","Bromazolam (Primary)
Cocaine (Primary)",Community Sample,02/2025,Michigan,Flint
17812,Crack (Rock),Cocaine (10),Community Sample,02/2025,Massachusetts,Holyoke
17808,"Heroin, Fentanyl","Erythritol (Primary)
6-Monoacetylmorphine (6-MAM) (Primary)
Diphenhydramine (Primary)
Caffeine (Primary)
Bis(2
2
6
6-Tetramethyl-4-Piperidyl) Sebacate (Primary)
Lidocaine (Primary)
Niacinamide (Primary)
Cocaine (Primary)
4-ANPP (Primary)
Heroin (Primary)
Fentanyl (Primary)
Xylazine (Primary)",Community Sample,02/2025,Michigan,Grand Rapids
17807,Fentanyl,"Lidocaine (Primary)
Fentanyl (Trace)
Acetaminophen (Primary)
Bis(2
2
6
6-Tetramethyl-4-Piperidyl) Sebacate (Primary)",Community Sample,02/2025,Michigan,Muskegon
17806,"Heroin, Fentanyl","Heroin (Trace)
Fentanyl (Primary)
Lidocaine (Primary)
Cocaine (Trace)
Quinine (Trace)
4-ANPP (Primary)
Xylazine (Primary)
Diphenhydramine (Primary)
Benzocaine (Trace)
Erythritol (Trace)",Community Sample,02/2025,Michigan,Grand Rapids
17805,Other Drug,"Cocaine (10)
Fentanyl (1)
Xylazine (trace)
Phenethyl-4-ANPP (trace)
Unknown Substance (trace)
4-ANPP (trace)",Community Sample,02/2025,Massachusetts,Quincy
17767,Fentanyl,"Para-fluorofentanyl (10)
Caffeine (39)
Xylazine (9)",Community Sample,02/2025,Massachusetts,Boston
17766,Fentanyl,"Fentanyl (10)
Tramadol (1)
BTMPS (Tinuvin 770) (93)
Lidocaine (20)
4-ANPP (2)
Caffeine (1)",Community Sample,02/2025,Massachusetts,Boston
17765,Fentanyl,"Fentanyl (10)
Ethyl-4-ANPP (1)
4-ANPP (trace)",Community Sample,02/2025,Massachusetts,Boston
17764,Fentanyl,"Fentanyl (10)
Heroin (trace)
Bromazolam QTOF (trace)
BTMPS (Tinuvin 770) (9)
4-ANPP (8)
Xylazine (4)
Lidocaine (3)
Noscapine (2)",Community Sample,02/2025,Massachusetts,Boston
17763,Fentanyl,"Fentanyl QTOF (10)
Xylazine (2148509)",Community Sample,02/2025,Massachusetts,Boston
17761,Fentanyl,"Fentanyl (10)
4-ANPP (10)",Community Sample,02/2025,Massachusetts,Boston
17779,"Heroin, Fentanyl","Fentanyl (10)
Heroin (6)
Caffeine (38)
BTMPS (Tinuvin 770) (7)
Lidocaine (2)
4-ANPP (2)
6-Monoacetylmorphine (1)
Procaine (trace)
Acetylcodeine (trace)",Community Sample,02/2025,Massachusetts,Holyoke
17760,Ritalin,Methylphenidate (10),Community Sample,02/2025,Massachusetts,Boston
17803,Cocaine (Powder),Cocaine (10),Community Sample,02/2025,Massachusetts,Northampton
17802,Qualuudes,Ketamine (10),Community Sample,02/2025,Massachusetts,Online
17799,"Heroin, Fentanyl, Xylazine","Heroin (10)
Fentanyl (5)
Para-fluorofentanyl (1)
Xylazine (88)
Caffeine (78)
Procaine (4)
6-Monoacetylmorphine (2)
4-ANPP (1)
Acetylcodeine (trace)
Lidocaine (trace)",Community Sample,02/2025,Massachusetts,
17780,"Heroin, Fentanyl","Fentanyl (10)
Procaine (733)
Medetomidine (17)
4-ANPP (1)",Community Sample,02/2025,Massachusetts,Springfield
17798,Fentanyl,"Para-fluorofentanyl (10)
Xylazine (10)",Community Sample,02/2025,Massachusetts,Quincy
17797,"Heroin, Fentanyl","Heroin (10)
Procaine (6)
BTMPS (Tinuvin 770) (2)",Community Sample,02/2025,Massachusetts,Holyoke
17796,Heroin,"Heroin (10)
6-Monoacetylmorphine (1)
Acetylcodeine (trace)",Community Sample,02/2025,Massachusetts,Online
17789,"Heroin, Fentanyl","Acetaminophen (Primary)
Fentanyl (Primary)
Bis(2
2
6
6-Tetramethyl-4-Piperidyl) Sebacate (Trace)
Diphenhydramine (Primary)
Quinine (Trace)
Melatonin (Trace)
Lidocaine (Primary)
Heroin (Primary)
4-ANPP (Primary)
Cocaine (Trace)",Community Sample,02/2025,Michigan,Grand Rapids
17785,Adderall,"Amphetamine (10)
Cocaine (trace)",Community Sample,02/2025,Massachusetts,Brockton
17782,Cocaine (Powder),Cocaine (10),Community Sample,02/2025,Massachusetts,Springfield
17781,Fentanyl,"Fentanyl (10)
4-ANPP (1)
Xylazine (trace)
Medetomidine (trace)
Lidocaine (trace)",Community Sample,02/2025,Massachusetts,Springfield
17804,Cocaine (Powder),"Cocaine (10)
Norcocaine (trace)",Community Sample,02/2025,Massachusetts,Chicopee
17746,Heroin,"Fentanyl (10)
Bromazolam QTOF (trace)
BTMPS (Tinuvin 770) (10)
Lidocaine (9)
4-ANPP (8)
Noscapine (7)",Community Sample,02/2025,Massachusetts,
17759,Fentanyl,"Fentanyl QTOF (10)
Xylazine (2980369)",Community Sample,02/2025,Massachusetts,Boston
